Aussparung;Surface_vide;Superficie_vuota
Aussparung_Geometrie;Surface_vide_Geometrie;Superficie_vuota_Geometria
BBArt;Genre_CS;Genere_CS
BBNachfuehrung;Mise_a_jourCS;Tenuta_a_giornoCS
BBNachfuehrung_Perimeter;Mise_a_jourCS_Perimetre;Tenuta_a_giornoCS_Perimetro
BenanntesGebiet;Lieu_denomme;Zona_denominata
BenanntesGebiet_Flaeche;Lieu_denomme_Geometrie;Zona_denominata_Geometria
Bergwerk;Mine;Miniera
Bergwerk_Geometrie;Mine_Geometrie;Miniera_Geometria
Beschriftungsart;Genre_description;Genere_testo
Bezirksgrenzabschnitt;Partie_limite_district;ParteConfineDistrecad088_0616_V3mens_translated_DE_20170912_1318ttuale
Bezirksgrenzen;Limites_district;Confini_distrettuali
BoFlaeche;SurfaceCS;SuperficieCS
BoFlaecheSymbol;SymboleSurfaceCS;SimboloSuperficieCS
BoFlaeche_Geometrie;SurfaceCS_Geometrie;SuperficieCS_Geometria
Bodenbedeckung;Couverture_du_sol;Copertura_del_suolo
Darstellungsflaeche;Surface_representation;Superficie_disegno
Darstellungsflaeche_Geometrie;Surface_representation_Geometrie;Superficie_disegno_Geometria
EOArt;Genre_OD;Genere_OS
EONachfuehrung;Mise_a_jourOD;Tenuta_a_giornoOS
EONachfuehrung_Perimeter;Mise_a_jourOD_Perimetre;Tenuta_a_giornoOS_Perimetro
Einzelobjekt;Objet_divers;Oggetto_singolo
Einzelobjekte;Objets_divers;Oggetti_singoli
Einzelobjekte_3D;Objets_divers_3D;Oggetti_singoli_3D
Einzelpunkt;Point_particulier;Punto_singolo
EinzelpunktPos;PosPoint_particulier;PosPunto_singolo
FixpunkteKategorie1;Points_fixesCategorie1;Punti_fissiCategoria1
FixpunkteKategorie2;Points_fixesCategorie2;Punti_fissiCategoria2
FixpunkteKategorie3;Points_fixesCategorie3;Punti_fissiCategoria3
Flaechenelement;Element_surfacique;Elemento_con_superficie
FlaechenelementSymbol;SymboleElement_surf;SimboloEl_con_superficie
Flaechenelement_Geometrie;Element_surfacique_Geometrie;Elemento_con_superficie_Geometria
Flurname;Nom_local;Nome_locale
FlurnamePos;PosNom_local;PosNome_locale
Flurname_Geometrie;Nom_local_Geometrie;Nome_locale_Geometria
GEBNachfuehrung;Mise_a_jourBAT;Tenuta_a_giornoEdifici
GEBNachfuehrung_Perimeter;Mise_a_jourBAT_Perimetre;Tenuta_a_giornoEdifici_Perimetro
GEMNachfuehrung;Mise_a_jourCOM;Tenuta_a_giorno_Comune
GEMNachfuehrung_Perimeter;Mise_a_jourCOM_Perimetre;Tenuta_a_giorno_Comune_Perimetro
GebaeudeBeschreibung;Description_batiment;Descrizione_edificio
GebaeudeName;Nom_batiment;Nome_edificio
GebaeudeNamePos;PosNom_batiment;PosNome_Edificio
Gebaeudeadressen;Adresses_des_batiments;Indirizzi_degli_edifici
Gebaeudeeingang;Entree_batiment;Entrata_edificio
Gebaeudenummer;Numero_de_batiment;Numero_di_edificio
GebaeudenummerPos;PosNumero_de_batiment;PosNumero_di_edificio
Gelaendekante;Arete;Linea
Gelaendename;Lieudit;Nome_del_luogo
GelaendenamePos;PosLieudit;PosNome_del_luogo
Gemeinde;Commune;Comune
Gemeindegrenze;Limite_commune;Confine_comunale
Gemeindegrenze_Geometrie;Limite_commune_Geometrie;Confine_comunale_Geometria
Gemeindegrenzen;Limites_commune;Confini_comunali
Grenzpunkt;Point_limite;Punto_di_confine
GrenzpunktPos;PosPoint_limite;PosPunto_di_confine
GrenzpunktSymbol;SymbolePoint_limite;SimboloPunto_di_confine
Grundstueck;Immeuble;Fondo
GrundstueckPos;PosImmeuble;PosFondo
Grundstuecksart;Genre_Immeuble;Genere_Fondo
HFP1;PFA1;PFA1
HFP1Nachfuehrung;Mise_a_jourPFA1;Tenuta_a_giornoPFA1
HFP1Nachfuehrung_Perimeter;Mise_a_jourPFA1_Perimetre;Tenuta_a_giornoPFA1_Perimetro
HFP1Pos;PosPFA1;PosPFA1
HFP2;PFA2;PFA2
